name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging,In_ESPN_Top_50
Levi Jordan,CIN,3B,7,10,1,1,1,0,0,1,0,3,0,0.1,0.091,0.2,0.291,False
Vinny Capra,MIL,3B,3,9,1,1,1,0,0,0,0,3,0,0.111,0.111,0.222,0.333,False
Tony Kemp,BAL,2B,5,9,1,0,0,0,0,0,1,1,0,0.0,0.1,0.0,0.1,False
Eddy Alvarez,NYM,2B,13,9,2,0,0,0,0,0,1,2,0,0.0,0.182,0.0,0.182,False
Rob Brantly,TB,C,3,9,0,1,0,0,0,0,0,2,0,0.111,0.111,0.111,0.222,False
Zack Short,NYM,2B,10,9,2,1,0,0,0,0,2,4,0,0.111,0.273,0.111,0.384,False
Edwin Rios,CIN,1B,5,9,1,1,0,0,0,0,1,4,0,0.111,0.2,0.111,0.311,False
David Fletcher,ATL,2B,5,8,0,2,0,0,0,2,0,1,0,0.25,0.222,0.25,0.472,False
CJ Alexander,KC,3B,4,8,0,1,0,0,0,0,0,3,0,0.125,0.125,0.125,0.25,False
Conner Capel,CIN,OF,5,8,1,2,0,0,0,0,0,2,1,0.25,0.25,0.25,0.5,False
Ryan McKenna,BAL,OF,9,8,3,3,0,0,2,2,1,1,0,0.375,0.444,1.125,1.569,False
Cade Marlowe,SEA,OF,8,8,1,2,0,0,0,0,1,1,0,0.25,0.333,0.25,0.583,False
Cooper Hummel,HOU,DH,6,8,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,False
Matt Duffy,TEX,3B,4,7,2,2,0,0,0,0,2,1,0,0.286,0.5,0.286,0.786,False
Aramis Garcia,PHI,C,3,7,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,False
Nick Ahmed,SD,SS,2,7,1,1,0,0,0,0,0,2,0,0.143,0.143,0.143,0.286,False
Zack Short,BOS,2B,2,7,0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,False
Grant Koch,PIT,C,3,7,1,0,0,0,0,0,1,6,0,0.0,0.125,0.0,0.125,False
Tristan Gray,MIA,1B,7,7,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,False
Dustin Harris,TEX,OF,2,6,1,2,1,0,1,3,1,2,0,0.333,0.429,1.0,1.429,False
Andrew Knapp,SF,C,3,6,0,1,0,0,0,0,0,2,0,0.167,0.167,0.167,0.334,False
Diego A. Castillo,MIN,OF,4,6,3,2,1,0,0,2,2,1,0,0.333,0.5,0.5,1.0,False
Ryan McKenna,SF,OF,4,6,1,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,False
Taylor Trammell,LAD,OF,5,6,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,False
Jair Camargo,MIN,C,5,6,1,0,0,0,0,0,1,3,0,0.0,0.143,0.0,0.143,False
Tyler Gentry,KC,OF,3,5,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
Stone Garrett,WSH,DH,2,5,2,3,1,0,1,3,1,0,0,0.6,0.667,1.4,2.067,False
Sandro Fabian,TEX,OF,3,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False
Brian Anderson,ATL,3B,3,5,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
Cavan Biggio,ATL,2B,4,5,1,1,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,False
Greg Jones,COL,OF,6,5,1,1,0,0,1,1,1,4,0,0.2,0.333,0.8,1.133,False
Nick Maton,BAL,3B,5,5,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
Brewer Hicklen,MIL,OF,3,5,0,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,False
Samad Taylor,SEA,2B,3,5,2,2,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,False
Myles Straw,CLE,OF,7,4,2,1,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,False
Jose Devers,MIA,SS,3,4,1,1,0,0,0,0,0,1,0,0.25,0.25,0.25,0.5,False
Jose Tena,CLE,3B,3,4,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
Aledmys Diaz,HOU,SS,2,4,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,False
Duke Ellis,CWS,OF,8,4,1,0,0,0,0,0,0,2,4,0.0,0.0,0.0,0.0,False
Matthew Batten,SD,3B,1,3,0,1,0,1,0,0,0,0,0,0.333,0.333,1.0,1.333,False
Forrest Wall,MIA,OF,3,3,1,1,0,0,0,0,0,2,1,0.333,0.333,0.333,0.666,False
Orelvis Martinez,TOR,2B,1,3,0,1,0,0,0,0,0,1,0,0.333,0.333,0.333,0.666,False
Sam Huff,TEX,C,3,3,0,0,0,0,0,0,1,2,0,0.0,0.25,0.0,0.25,False
Livan Soto,CIN,SS,1,3,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,False
Tyler Heineman,BOS,C,2,2,0,0,0,0,0,0,0,1,0,0.0,0.333,0.0,0.333,False
Cristian Pache,BAL,OF,3,1,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,False
Taylor Trammell,NYY,OF,5,1,2,1,0,0,0,0,1,0,0,1.0,1.0,1.0,2.0,False
Daniel Johnson,BAL,OF,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False
David Banuelos,BAL,C,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False
Jacob Amaya,HOU,SS,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False
Duke Ellis,NYY,OF,3,1,0,1,0,0,0,0,0,0,1,1.0,1.0,1.0,2.0,False
Chris Roller,MIL,OF,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,False
Eric Yang,CIN,C,1,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,False
Joey Wiemer,CIN,OF,2,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,False
