name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging
Jarren Duran,BOS,OF,160,671,111,191,48,14,21,75,54,160,34,.285,.342,.492,.834
Ezequiel Tovar,COL,SS,157,655,83,176,45,4,26,78,23,200,6,.269,.295,.469,.764
Marcus Semien,TEX,2B,159,650,101,154,27,2,23,74,64,105,8,.237,.308,.391,.699
Anthony Volpe,NYY,SS,160,637,90,155,27,7,12,60,42,156,28,.243,.293,.364,.657
Bobby Witt,KC,SS,161,636,125,211,45,11,32,109,57,106,31,.332,.389,.588,.977
Shohei Ohtani,LAD,DH,159,636,134,197,38,7,54,130,81,162,59,.310,.390,.646,1.036
Gunnar Henderson,BAL,SS,159,630,118,177,31,7,37,92,78,159,21,.281,.364,.529,.893
Jose Altuve,HOU,2B,153,628,94,185,31,0,20,65,47,119,22,.295,.350,.439,.789
Bryan Reynolds,PIT,OF,156,622,73,171,29,3,24,88,57,156,10,.275,.344,.447,.791
Jose Ramirez,CLE,3B,158,620,114,173,39,2,39,118,54,82,41,.279,.335,.537,.872
Francisco Lindor,NYM,SS,152,618,107,169,39,1,33,91,56,127,29,.273,.344,.500,.844
Elly De La Cruz,CIN,SS,160,618,105,160,36,10,25,76,69,218,67,.259,.339,.471,.810
Vladimir Guerrero,TOR,1B,159,616,98,199,44,1,30,103,72,96,2,.323,.396,.544,.940
Willy Adames,MIL,SS,161,610,93,153,33,0,32,112,74,173,21,.251,.331,.462,.793
Pete Alonso,NYM,1B,162,608,91,146,31,0,34,88,70,172,3,.240,.329,.459,.788
Marcell Ozuna,ATL,DH,162,606,96,183,31,0,39,104,74,170,1,.302,.378,.546,.924
Nick Castellanos,PHI,OF,162,606,80,154,30,4,23,86,41,139,6,.254,.311,.431,.742
Jeremy Pena,HOU,SS,157,602,78,160,28,2,15,70,25,111,20,.266,.308,.394,.702
Matt Olson,ATL,1B,162,600,78,148,37,1,29,98,71,170,0,.247,.333,.457,.790
Paul Goldschmidt,STL,1B,154,599,70,147,33,1,22,65,47,173,11,.245,.302,.414,.716
Anthony Santander,BAL,OF,155,595,91,140,25,2,44,102,58,129,2,.235,.308,.506,.814
William Contreras,MIL,C,155,595,99,167,37,2,23,92,78,139,9,.281,.365,.466,.831
Manny Machado,SD,3B,152,593,77,163,30,0,29,105,45,124,11,.275,.325,.472,.797
Salvador Perez,KC,C,158,590,58,160,28,0,27,104,44,129,0,.271,.330,.456,.786
Teoscar Hernandez,LAD,OF,154,589,84,160,32,2,33,99,53,188,12,.272,.339,.501,.840
Corbin Carroll,ARI,OF,158,589,121,136,22,14,22,74,73,130,35,.231,.322,.428,.750
Gleyber Torres,NYY,2B,154,587,80,151,26,0,15,63,65,136,4,.257,.330,.378,.708
Brendan Donovan,STL,2B,153,587,65,163,34,3,14,73,47,81,5,.278,.342,.417,.759
Masyn Winn,STL,SS,150,587,85,157,32,5,15,57,41,109,11,.267,.314,.416,.730
Yainer Diaz,HOU,C,148,585,70,175,29,3,16,84,24,107,2,.299,.325,.441,.766
Taylor Ward,LAA,OF,156,585,73,144,26,2,25,75,63,163,6,.246,.323,.426,.749
Andres Gimenez,CLE,2B,152,583,64,147,22,1,9,63,26,97,30,.252,.298,.340,.638
Nico Hoerner,CHC,2B,151,582,86,159,35,1,7,48,44,66,31,.273,.335,.373,.708
Alex Bregman,HOU,3B,145,581,79,151,30,2,26,75,44,86,3,.260,.315,.453,.768
Adolis Garcia,TEX,OF,154,580,68,130,27,0,25,85,45,177,11,.224,.284,.400,.684
Nolan Arenado,STL,3B,152,578,70,157,23,0,16,71,44,92,2,.272,.325,.394,.719
Jake Cronenworth,SD,2B,155,577,72,139,29,3,17,83,61,118,5,.241,.324,.390,.714
Juan Soto,NYY,OF,157,576,128,166,31,4,41,109,129,119,7,.288,.419,.569,.988
Matt Chapman,SF,3B,154,575,98,142,39,2,27,78,64,158,15,.247,.328,.463,.791
Maikel Garcia,KC,3B,157,575,84,133,27,5,7,58,42,103,37,.231,.281,.332,.613
Spencer Steer,CIN,OF,158,574,74,129,34,4,20,92,72,137,25,.225,.319,.402,.721
Kyle Schwarber,PHI,DH,150,573,110,142,22,0,38,104,106,197,5,.248,.366,.485,.851
JJ Bleday,OAK,OF,159,572,74,139,43,4,20,60,67,125,2,.243,.324,.437,.761
Adley Rutschman,BAL,C,148,571,68,143,21,1,19,79,58,103,1,.250,.318,.391,.709
Brandon Nimmo,NYM,OF,151,571,88,128,25,3,23,90,77,158,15,.224,.327,.399,.726
Eugenio Suarez,ARI,3B,158,571,90,146,28,2,30,101,49,176,2,.256,.319,.469,.788
Andrew Vaughn,CWS,1B,149,570,55,140,30,1,19,70,38,132,2,.246,.297,.402,.699
Ian Happ,CHC,OF,153,569,89,138,34,2,25,86,80,168,13,.243,.341,.441,.782
Ryan McMahon,COL,3B,153,567,68,137,28,0,20,65,69,185,4,.242,.325,.397,.722
Julio Rodriguez,SEA,OF,143,567,76,155,17,0,20,68,38,156,24,.273,.325,.409,.734
Jurickson Profar,SD,OF,158,564,94,158,29,0,24,85,76,101,10,.280,.380,.459,.839
Josh Naylor,CLE,1B,152,563,84,137,27,0,31,108,58,105,6,.243,.320,.456,.776
Yandy Diaz,TB,1B,145,563,55,158,31,1,14,65,50,95,0,.281,.341,.414,.755
Alex Verdugo,NYY,OF,149,559,74,130,28,1,13,61,49,93,2,.233,.291,.356,.647
Aaron Judge,NYY,OF,158,559,122,180,36,1,58,144,133,171,10,.322,.458,.701,1.159
Brice Turang,MIL,2B,155,559,72,142,24,4,7,57,50,105,50,.254,.316,.349,.665
Willi Castro,MIN,OF,158,558,89,138,31,5,12,60,51,150,14,.247,.331,.385,.716
Alec Bohm,PHI,3B,143,554,62,155,44,2,15,97,40,86,5,.280,.332,.448,.780
Jackson Merrill,SD,OF,156,554,77,162,31,6,24,90,29,101,16,.292,.326,.500,.826
Yordan Alvarez,HOU,OF,147,552,88,170,34,2,35,86,69,95,6,.308,.392,.567,.959
Orlando Arcia,ATL,SS,157,551,50,120,24,0,17,46,41,128,2,.218,.271,.354,.625
Bryce Harper,PHI,1B,145,550,85,157,42,0,30,87,76,138,7,.285,.373,.525,.898
Alec Burleson,STL,OF,152,547,71,147,20,0,21,78,35,76,9,.269,.314,.420,.734
Brent Rooker,OAK,DH,145,546,82,160,26,2,39,112,59,177,11,.293,.365,.562,.927
Cal Raleigh,SEA,C,153,546,73,120,16,0,34,100,70,176,6,.220,.312,.436,.748
George Springer,TOR,OF,145,545,74,120,19,3,19,56,60,115,16,.220,.303,.371,.674
Ceddanne Rafaela,BOS,OF,152,544,70,134,23,5,15,75,15,151,19,.246,.274,.390,.664
Zach Neto,LAA,SS,155,542,70,135,34,1,23,77,39,140,30,.249,.318,.443,.761
Freddie Freeman,LAD,1B,147,542,81,153,35,2,22,89,78,100,9,.282,.378,.476,.854
Brenton Doyle,COL,OF,149,542,82,141,24,4,23,72,46,153,30,.260,.317,.446,.763
CJ Abrams,WSH,SS,138,541,79,133,29,6,20,65,40,128,31,.246,.314,.433,.747
Oneil Cruz,PIT,OF,146,541,72,140,34,3,21,76,51,181,22,.259,.324,.449,.773
Jake Burger,MIA,1B,137,535,68,134,23,1,29,76,31,150,1,.250,.301,.460,.761
Dansby Swanson,CHC,SS,149,534,82,129,27,2,16,66,54,144,19,.242,.312,.390,.702
Jonathan India,CIN,2B,151,533,84,132,28,2,15,58,80,125,13,.248,.357,.392,.749
Jackson Chourio,MIL,OF,148,528,80,145,29,4,21,79,39,121,22,.275,.327,.464,.791
Rafael Devers,BOS,3B,138,525,87,143,34,5,28,83,67,147,3,.272,.354,.516,.870
Josh Smith,TEX,3B,149,523,67,135,30,1,13,62,46,121,11,.258,.337,.394,.731
Carlos Santana,MIN,1B,150,521,63,124,26,0,23,71,65,99,4,.238,.328,.420,.748
Nolan Schanuel,LAA,1B,147,519,62,130,19,0,13,54,68,103,10,.250,.343,.362,.705
Matt Vierling,DET,OF,144,518,80,133,28,5,16,57,41,121,6,.257,.312,.423,.735
Cody Bellinger,CHC,OF,130,516,72,137,23,3,18,78,45,89,9,.266,.325,.426,.751
Colt Keith,DET,2B,148,516,54,134,15,4,13,61,36,110,7,.260,.309,.380,.689
Lourdes Gurriel,ARI,OF,133,513,72,143,22,2,18,75,29,101,7,.279,.322,.435,.757
Riley Greene,DET,OF,137,512,82,134,27,6,24,74,64,156,4,.262,.348,.479,.827
Seiya Suzuki,CHC,OF,132,512,74,145,27,6,21,73,63,160,16,.283,.366,.482,.848
Bryson Stott,PHI,2B,148,506,65,124,19,2,11,57,53,93,32,.245,.315,.356,.671
Trea Turner,PHI,SS,121,505,88,149,25,0,21,62,27,98,19,.295,.338,.469,.807
Ketel Marte,ARI,2B,136,504,93,147,23,2,36,95,65,106,7,.292,.372,.560,.932
Brendan Rodgers,COL,2B,135,501,67,134,29,1,13,54,31,132,1,.267,.314,.407,.721
Luis Arraez,SD,1B,117,500,61,159,24,2,4,41,16,18,9,.318,.346,.398,.744
Luis Garcia,WSH,2B,140,500,58,141,25,1,18,70,27,86,22,.282,.318,.444,.762
Colton Cowser,BAL,OF,153,499,77,121,24,3,24,69,52,172,9,.242,.321,.447,.768
Wyatt Langford,TEX,OF,134,499,74,126,25,4,16,74,51,115,19,.253,.325,.415,.740
Zack Gelof,OAK,2B,138,497,60,105,20,2,17,49,38,188,25,.211,.270,.362,.632
Vinnie Pasquantino,KC,1B,131,496,64,130,30,2,19,97,40,71,1,.262,.315,.446,.761
Michael Busch,CHC,1B,152,496,73,123,28,2,21,65,63,162,2,.248,.335,.440,.775
Jesus Sanchez,MIA,OF,149,489,60,123,25,1,18,64,41,140,16,.252,.313,.417,.730
Nathaniel Lowe,TEX,1B,140,486,62,129,16,1,16,69,71,125,2,.265,.361,.401,.762
Shea Langeliers,OAK,C,137,482,58,108,18,2,29,80,41,145,4,.224,.288,.450,.738
Steven Kwan,CLE,OF,122,480,83,140,16,3,14,44,53,51,12,.292,.368,.425,.793
Leody Taveras,TEX,OF,151,480,59,110,17,3,12,44,42,112,23,.229,.289,.352,.641
Christian Walker,ARI,1B,130,479,72,120,26,0,26,84,55,133,2,.251,.335,.468,.803
Logan O'Hoppe,LAA,C,136,479,64,117,17,1,20,56,33,155,2,.244,.303,.409,.712
Andrew Benintendi,CWS,OF,135,477,50,109,20,0,20,64,41,96,3,.229,.289,.396,.685
Will Smith,LAD,C,128,476,77,118,24,2,20,75,51,105,1,.248,.327,.433,.760
Heliot Ramos,SF,OF,121,475,54,128,23,3,22,72,37,135,6,.269,.322,.469,.791
Corey Seager,TEX,SS,123,475,68,132,21,0,30,74,53,96,1,.278,.353,.512,.865
Sal Frelick,MIL,OF,145,475,66,123,22,4,2,32,39,78,18,.259,.320,.335,.655
Ryan Mountcastle,BAL,1B,124,473,54,128,30,2,13,63,27,114,3,.271,.308,.425,.733
Jacob Young,WSH,OF,150,468,75,120,24,1,3,36,30,102,33,.256,.316,.331,.647
Jake Meyers,HOU,OF,148,461,51,101,20,3,13,61,35,117,11,.219,.286,.360,.646
Jonah Heim,TEX,C,131,459,45,101,12,1,13,59,26,90,1,.220,.267,.336,.603
Keibert Ruiz,WSH,C,127,459,46,105,21,0,13,57,16,54,3,.229,.260,.359,.619
Daulton Varsho,TOR,OF,136,459,73,98,21,7,18,58,48,137,10,.214,.293,.407,.700
Tyler Stephenson,CIN,C,138,457,69,118,26,1,19,66,48,117,1,.258,.338,.444,.782
Gavin Sheets,CWS,OF,139,451,35,105,24,1,10,45,43,106,2,.233,.303,.357,.660
Mookie Betts,LAD,OF,116,450,75,130,24,5,19,75,61,57,16,.289,.372,.491,.863
Charlie Blackmon,COL,OF,124,449,59,115,24,5,12,52,43,86,6,.256,.329,.412,.741
Rhys Hoskins,MIL,1B,131,449,59,96,14,0,26,82,53,149,3,.214,.303,.419,.722
Andrew McCutchen,PIT,DH,120,448,66,104,18,1,20,50,58,133,3,.232,.328,.411,.739
Connor Wong,BOS,C,126,447,54,125,24,1,13,52,28,114,8,.280,.333,.425,.758
Cedric Mullins,BAL,OF,147,444,69,104,16,3,18,54,41,98,32,.234,.305,.405,.710
Ryan O'Hearn,BAL,1B,142,443,60,117,21,3,15,59,46,69,3,.264,.334,.427,.761
Jake McCarthy,ARI,OF,142,442,66,126,13,7,8,56,31,78,25,.285,.349,.400,.749
Jose Caballero,TB,SS,139,441,53,100,24,1,9,44,27,133,44,.227,.283,.347,.630
Michael Harris,ATL,OF,110,440,58,116,14,3,16,48,23,94,10,.264,.304,.418,.722
Joey Ortiz,MIL,3B,142,440,58,105,25,6,11,60,56,103,11,.239,.329,.398,.727
Gavin Lux,LAD,2B,139,439,59,110,24,2,10,50,44,110,5,.251,.320,.383,.703
Michael Conforto,SF,OF,130,438,56,104,27,3,20,66,42,118,0,.237,.309,.450,.759
J.D. Martinez,NYM,DH,120,434,46,102,24,1,16,69,49,141,0,.235,.320,.406,.726
Ernie Clement,TOR,3B,139,434,48,114,21,3,12,51,11,41,12,.263,.284,.408,.692
Xander Bogaerts,SD,SS,111,428,50,113,15,1,11,44,28,79,13,.264,.307,.381,.688
Mike Yastrzemski,SF,OF,140,428,60,99,16,9,18,57,38,124,3,.231,.302,.437,.739
Jeimer Candelario,CIN,1B,112,427,47,96,23,2,20,56,27,114,4,.225,.279,.429,.708
Austin Riley,ATL,3B,110,425,63,109,26,2,19,56,37,118,0,.256,.322,.461,.783
Jeff McNeil,NYM,2B,129,424,57,101,26,0,12,44,35,68,5,.238,.308,.384,.692
Bryan De La Cruz,MIA,OF,105,424,44,104,19,0,18,51,25,118,3,.245,.289,.417,.706
Josh Rojas,SEA,3B,143,422,48,95,19,2,8,31,46,108,10,.225,.304,.336,.640
Brandon Marsh,PHI,OF,135,418,55,104,17,3,16,60,50,154,19,.249,.328,.419,.747
Jorge Polanco,SEA,2B,118,417,43,89,11,0,16,45,46,137,4,.213,.296,.355,.651
Giancarlo Stanton,NYY,DH,114,417,49,97,20,0,27,72,38,143,0,.233,.298,.475,.773
Jordan Westburg,BAL,2B,107,416,57,110,26,5,18,63,22,97,6,.264,.312,.481,.793
Mark Vientos,NYM,3B,111,413,58,110,22,0,27,71,33,135,0,.266,.322,.516,.838
MJ Melendez,KC,OF,135,412,44,85,23,3,17,44,35,113,4,.206,.273,.400,.673
Jarred Kelenic,ATL,OF,131,412,49,95,18,2,15,45,32,133,7,.231,.286,.393,.679
Ryan Jeffers,MIN,C,122,412,56,93,22,0,21,64,32,94,3,.226,.300,.432,.732
Lawrence Butler,OAK,OF,125,412,63,108,24,2,22,57,35,108,18,.262,.317,.490,.807
Tyler O'Neill,BOS,OF,113,411,74,99,18,0,31,61,53,159,4,.241,.336,.511,.847
Jo Adell,LAA,OF,130,405,54,84,15,2,20,62,35,126,15,.207,.280,.402,.682
Luke Raley,SEA,1B,137,404,58,98,19,2,22,58,27,135,11,.243,.320,.463,.783
Andy Pages,LAD,OF,116,403,65,100,23,1,13,46,29,108,1,.248,.305,.407,.712
Otto Lopez,MIA,2B,117,403,49,109,23,1,6,39,25,75,20,.270,.313,.377,.690
Ha-Seong Kim,SD,SS,121,403,60,94,16,3,11,47,58,77,22,.233,.330,.370,.700
Jose Siri,TB,OF,130,402,50,75,16,1,18,47,31,170,14,.187,.255,.366,.621
Harrison Bader,NYM,OF,143,402,57,95,19,0,12,51,21,95,17,.236,.284,.373,.657
Mauricio Dubon,HOU,OF,137,402,45,108,25,0,4,47,16,55,3,.269,.296,.361,.657
Jose Miranda,MIN,3B,121,401,44,114,28,4,9,49,18,66,2,.284,.322,.441,.763
Patrick Bailey,SF,C,121,401,46,94,16,1,8,46,39,100,4,.234,.298,.339,.637
Wilyer Abreu,BOS,OF,132,399,59,101,33,2,15,58,40,125,8,.253,.322,.459,.781
Michael Toglia,COL,1B,116,399,62,87,14,3,25,55,54,147,10,.218,.311,.456,.767
Ozzie Albies,ATL,2B,99,399,52,100,29,1,10,53,27,65,8,.251,.303,.404,.707
Josh Bell,MIA,1B,104,398,38,95,18,1,14,49,34,88,0,.239,.305,.394,.699
Fernando Tatis,SD,OF,102,398,64,110,21,1,21,49,32,96,11,.276,.340,.492,.832
Nicky Lopez,CWS,2B,124,398,40,96,12,3,1,21,37,67,5,.241,.312,.294,.606
Davis Schneider,TOR,2B,135,397,48,76,19,1,13,46,47,144,6,.191,.282,.343,.625
Max Schuemann,OAK,SS,133,396,55,87,14,0,7,34,47,119,14,.220,.311,.308,.619
Jared Triolo,PIT,3B,125,394,41,85,10,1,9,46,42,118,8,.216,.296,.315,.611
Luis Robert,CWS,OF,100,393,47,88,19,0,14,35,28,141,23,.224,.278,.379,.657
J.P. Crawford,SEA,SS,105,392,55,79,16,2,9,37,52,102,5,.202,.304,.321,.625
Mickey Moniak,LAA,OF,124,392,48,86,17,2,14,49,21,114,8,.219,.266,.380,.646
Wenceel Perez,DET,OF,112,389,51,94,16,6,9,37,32,92,9,.242,.300,.383,.683
Jazz Chisholm,MIA,3B,101,386,46,96,14,4,13,50,39,107,22,.249,.323,.407,.730
Brandon Lowe,TB,2B,107,385,56,94,19,3,21,58,33,112,5,.244,.311,.473,.784
Hunter Renfroe,KC,OF,120,385,44,88,18,0,15,52,36,84,1,.229,.297,.392,.689
Kyle Isbel,KC,OF,136,384,62,88,13,8,8,42,27,88,11,.229,.287,.367,.654
Brayan Rocchio,CLE,SS,143,383,50,79,18,0,8,36,44,90,10,.206,.298,.316,.614
Rowdy Tellez,PIT,1B,132,383,38,93,18,0,13,56,31,89,1,.243,.299,.392,.691
Blake Perkins,MIL,OF,121,383,54,92,13,2,6,43,42,108,23,.240,.316,.332,.648
Mitch Haniger,SEA,OF,121,380,42,79,12,0,12,44,40,126,0,.208,.286,.334,.620
J.T. Realmuto,PHI,C,99,380,50,101,18,1,14,47,27,102,2,.266,.322,.429,.751
Masataka Yoshida,BOS,DH,108,378,45,106,21,0,10,56,27,52,2,.280,.349,.415,.764
Korey Lee,CWS,C,125,377,36,79,14,1,12,37,17,122,6,.210,.244,.347,.591
Seth Brown,OAK,OF,124,372,32,86,11,1,14,44,25,112,4,.231,.283,.379,.662
Pete Crow-Armstrong,CHC,OF,123,372,46,88,13,6,10,47,21,98,27,.237,.286,.384,.670
Dylan Moore,SEA,2B,135,368,53,74,23,4,10,42,53,123,32,.201,.320,.367,.687
Max Kepler,MIN,OF,105,368,43,93,21,1,8,42,22,80,1,.253,.302,.380,.682
Joc Pederson,ARI,DH,132,367,62,101,17,1,23,64,55,105,7,.275,.393,.515,.908
Mitch Garver,SEA,C,114,367,37,63,17,0,15,51,53,133,0,.172,.286,.341,.627
Ke'Bryan Hayes,PIT,3B,96,365,38,85,9,0,4,25,23,75,11,.233,.283,.290,.573
Nolan Gorman,STL,2B,107,365,42,74,15,0,19,50,34,151,6,.203,.271,.400,.671
Thairo Estrada,SF,2B,96,364,43,79,15,2,9,47,10,76,2,.217,.247,.343,.590
Connor Joe,PIT,OF,123,364,49,83,22,1,9,36,44,91,2,.228,.320,.368,.688
Isaac Paredes,TB,3B,101,363,41,89,19,1,16,55,52,68,0,.245,.357,.435,.792
Enrique Hernandez,LAD,3B,126,362,44,83,16,0,12,42,27,77,0,.229,.281,.373,.654
Christopher Morel,CHC,2B,103,362,43,72,7,1,18,51,47,103,7,.199,.302,.373,.675
Nick Gonzales,PIT,2B,94,359,42,97,19,3,7,49,18,74,5,.270,.311,.398,.709
Santiago Espinal,CIN,3B,118,357,32,88,12,0,9,45,24,54,11,.246,.295,.356,.651
Trevor Larnach,MIN,OF,112,355,59,92,17,0,15,52,40,89,4,.259,.338,.434,.772
Jon Singleton,HOU,1B,119,355,46,83,13,1,13,42,47,111,0,.234,.321,.386,.707
Byron Buxton,MIN,OF,102,355,62,99,27,3,18,56,20,99,7,.279,.335,.524,.859
Bo Naylor,CLE,C,123,354,39,71,10,2,13,39,29,122,6,.201,.264,.350,.614
Austin Wells,NYY,C,115,354,42,81,18,1,13,55,47,87,1,.229,.322,.395,.717
Josh Lowe,TB,OF,106,353,37,85,19,2,10,34,32,123,25,.241,.302,.391,.693
Lenyn Sosa,CWS,2B,100,351,28,89,13,0,8,35,12,77,3,.254,.283,.359,.642
Randy Arozarena,TB,OF,100,350,45,74,19,0,15,37,45,101,16,.211,.318,.394,.712
Jake Fraley,CIN,OF,116,350,44,97,19,2,5,26,26,70,20,.277,.330,.386,.716
Lars Nootbaar,STL,OF,109,348,39,85,18,3,12,45,52,79,7,.244,.342,.417,.759
Will Benson,CIN,OF,128,343,41,64,19,2,14,43,40,154,16,.187,.274,.376,.650
Spencer Torkelson,DET,1B,92,342,45,75,21,1,10,37,33,105,0,.219,.295,.374,.669
Jorge Soler,SF,OF,93,341,57,82,23,1,12,40,44,97,1,.240,.330,.419,.749
Alejandro Kirk,TOR,C,103,340,23,86,19,1,5,54,35,51,0,.253,.319,.359,.678
Freddy Fermin,KC,C,111,339,40,92,14,0,6,36,23,66,2,.271,.319,.366,.685
Johan Rojas,PHI,OF,120,338,47,82,12,3,3,32,13,69,25,.243,.279,.322,.601
Geraldo Perdomo,ARI,SS,98,337,61,92,21,2,3,37,36,58,9,.273,.344,.374,.718
Abraham Toro,OAK,3B,94,337,34,81,17,1,6,26,20,62,4,.240,.293,.350,.643
Anthony Rizzo,NYY,1B,92,337,38,77,12,0,8,35,27,65,0,.228,.301,.335,.636
Paul DeJong,CWS,SS,102,337,39,77,14,0,18,41,14,112,2,.228,.275,.430,.705
Starling Marte,NYM,OF,94,335,46,90,13,3,7,40,27,81,16,.269,.327,.388,.715
David Fry,CLE,C,122,335,44,88,18,1,14,51,42,84,4,.263,.356,.448,.804
Michael Massey,KC,2B,100,332,45,86,17,2,14,45,15,56,1,.259,.294,.449,.743
Jonny DeLuca,TB,OF,107,332,29,72,12,4,6,31,24,77,16,.217,.278,.331,.609
LaMonte Wade,SF,1B,117,331,45,86,16,0,8,34,62,90,2,.260,.380,.381,.761
Tyler Freeman,CLE,OF,118,330,48,69,14,1,7,32,28,53,11,.209,.305,.321,.626
Will Brennan,CLE,OF,114,330,37,87,13,2,8,30,19,48,4,.264,.309,.388,.697
Spencer Horwitz,TOR,1B,97,328,46,87,19,0,12,40,42,70,0,.265,.357,.433,.790
Miguel Amaya,CHC,C,117,328,32,76,13,2,8,47,23,62,0,.232,.288,.357,.645
Brandon Drury,LAA,2B,97,325,28,55,7,0,4,15,27,81,1,.169,.242,.228,.470
Jake Cave,COL,OF,123,323,42,81,16,5,7,37,18,98,5,.251,.290,.396,.686
Mark Canha,DET,1B,93,320,42,74,17,0,7,38,42,79,4,.231,.337,.350,.687
Carlos Correa,MIN,SS,86,319,55,99,20,2,14,54,40,61,0,.310,.388,.517,.905
Tyrone Taylor,NYM,OF,130,319,47,79,22,3,7,35,19,80,11,.248,.299,.401,.700
Jesse Winker,WSH,OF,101,315,51,81,18,0,11,45,53,84,14,.257,.374,.419,.793
Manuel Margot,MIN,OF,129,315,37,75,17,1,4,31,21,54,5,.238,.289,.337,.626
Tyler Fitzgerald,SF,SS,96,314,53,88,19,2,15,34,22,108,17,.280,.334,.497,.831
Bo Bichette,TOR,SS,81,311,29,70,16,1,4,31,20,64,5,.225,.277,.322,.599
Jake Rogers,DET,C,102,310,43,61,16,1,10,36,22,99,1,.197,.255,.352,.607
Francisco Alvarez,NYM,C,100,308,39,73,14,2,11,47,30,86,1,.237,.307,.403,.710
Nick Fortes,MIA,C,110,308,28,70,16,0,4,29,11,41,0,.227,.259,.318,.577
Miguel Rojas,LAD,SS,103,307,41,87,21,0,6,36,23,34,8,.283,.337,.410,.747
Travis d'Arnaud,ATL,C,99,307,40,73,16,0,15,48,24,89,1,.238,.302,.436,.738
Gabriel Moreno,ARI,C,97,305,39,81,18,1,5,45,41,52,3,.266,.353,.380,.733
Elias Diaz,COL,C,84,304,26,82,18,0,5,36,17,64,0,.270,.315,.378,.693
Adam Duvall,ATL,OF,104,303,29,55,10,0,11,30,21,99,0,.182,.245,.323,.568
Jake Bauers,MIL,1B,117,302,45,60,9,2,12,43,39,118,13,.199,.301,.361,.662
Miguel Andujar,OAK,OF,75,302,31,86,14,1,4,30,13,42,3,.285,.320,.377,.697
Willson Contreras,STL,C,84,301,48,79,17,0,15,36,45,96,4,.262,.380,.468,.848
Justin Turner,TOR,1B,91,301,37,77,17,0,6,31,39,60,0,.256,.350,.372,.722
Gio Urshela,DET,3B,92,300,25,73,10,1,5,37,19,49,0,.243,.286,.333,.619
Lane Thomas,WSH,OF,77,300,42,76,16,3,8,40,32,72,28,.253,.331,.407,.738
Ty France,SEA,1B,88,300,28,67,14,0,8,31,28,83,0,.223,.312,.350,.662
Oswaldo Cabrera,NYY,3B,109,299,47,74,11,0,8,36,21,63,4,.247,.296,.365,.661
Michael Siani,STL,OF,124,298,42,68,7,2,2,20,21,92,20,.228,.285,.285,.570
Mike Tauchman,CHC,OF,109,298,50,74,12,1,7,29,47,70,6,.248,.357,.366,.723
Zach McKinstry,DET,SS,118,297,32,64,14,5,4,23,24,69,16,.215,.277,.337,.614
TJ Friedl,CIN,OF,85,297,35,67,5,1,13,55,26,52,9,.226,.310,.380,.690
James Wood,WSH,OF,79,295,43,78,13,4,9,41,39,97,14,.264,.354,.427,.781
David Hamilton,BOS,2B,98,294,47,73,17,1,8,28,22,80,33,.248,.303,.395,.698
Christian Vazquez,MIN,C,93,294,29,65,10,0,7,27,11,65,3,.221,.248,.327,.575
Royce Lewis,MIN,3B,82,292,40,68,16,0,16,47,28,74,0,.233,.295,.452,.747
Ben Rortvedt,TB,C,112,290,27,66,13,0,3,31,34,88,1,.228,.317,.303,.620
Kevin Newman,ARI,SS,111,288,41,80,17,1,3,28,15,48,8,.278,.311,.375,.686
Donovan Solano,SD,2B,96,283,31,81,13,0,8,35,22,65,2,.286,.343,.417,.760
Luis Rengifo,LAA,2B,78,283,41,85,13,1,6,30,16,44,24,.300,.347,.417,.764
Joey Meneses,WSH,DH,76,281,19,65,11,0,3,42,21,63,2,.231,.291,.302,.593
Luis Campusano,SD,C,91,277,37,63,13,0,8,40,20,41,0,.227,.281,.361,.642
Kyle Tucker,HOU,OF,78,277,56,80,13,0,23,49,56,54,11,.289,.408,.585,.993
Javier Baez,DET,SS,80,272,25,50,12,0,6,37,12,69,8,.184,.221,.294,.515
Rob Refsnyder,BOS,OF,93,272,32,77,16,1,11,40,28,78,2,.283,.359,.471,.830
Ildemaro Vargas,WSH,3B,97,272,21,67,16,0,1,30,19,31,9,.246,.295,.316,.611
Ramon Urias,BAL,3B,100,272,39,69,9,2,11,37,23,55,1,.254,.322,.423,.745
Tommy Pham,CWS,OF,70,271,33,72,14,1,5,19,25,63,6,.266,.330,.380,.710
Jose Iglesias,NYM,2B,85,270,39,91,16,1,4,26,12,39,6,.337,.381,.448,.829
Christian Yelich,MIL,OF,73,270,44,85,12,3,11,42,40,58,21,.315,.406,.504,.910
Parker Meadows,DET,OF,82,270,39,66,12,6,9,28,25,76,9,.244,.310,.433,.743
Michael Taylor,PIT,OF,113,269,35,52,9,1,5,21,23,105,12,.193,.253,.290,.543
Ezequiel Duran,TEX,3B,92,268,26,66,11,0,3,20,14,63,1,.246,.288,.321,.609
Edouard Julien,MIN,2B,94,266,36,53,9,0,8,21,33,102,6,.199,.292,.323,.615
Xavier Edwards,MIA,SS,70,265,39,87,12,5,1,26,33,52,31,.328,.397,.423,.820
Richie Palacios,TB,2B,92,264,46,59,8,1,5,21,45,67,19,.223,.346,.318,.664
Amed Rosario,TB,2B,76,264,22,81,17,3,2,26,7,48,9,.307,.331,.417,.748
Kerry Carpenter,DET,OF,87,264,37,75,16,5,18,57,22,75,0,.284,.345,.587,.932
