name,team,position,games_played,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strikes,steals,avg,on_base_percentage,slugging_percentage,on_base_plus_slugging
Cavan Biggio,LAD,2B,30,73,11,14,1,0,3,10,10,28,0,.192,.306,.329,.635
Leo Rivas,SEA,2B,43,73,10,17,1,1,0,8,10,24,3,.233,.333,.274,.607
Eric Wagaman,LAA,3B,18,72,6,18,5,0,2,10,2,17,0,.250,.270,.403,.673
Miguel Vargas,LAD,3B,30,71,11,17,4,0,3,9,8,16,1,.239,.313,.423,.736
Brandon Crawford,STL,SS,29,71,5,12,5,0,1,4,8,26,0,.169,.263,.282,.545
Robbie Grossman,CWS,OF,25,71,6,15,4,0,0,4,13,20,2,.211,.329,.268,.597
Jose Fermin,STL,2B,45,71,7,11,1,1,0,4,7,11,2,.155,.241,.197,.438
Daniel Vogelbach,TOR,DH,31,70,5,13,5,0,1,8,9,17,0,.186,.278,.300,.578
Chuckie Robinson,CWS,C,26,70,2,9,0,0,0,0,5,20,0,.129,.197,.129,.326
Garrett Cooper,BOS,1B,24,70,3,12,4,0,0,5,3,22,0,.171,.227,.229,.456
Ramon Laureano,CLE,OF,31,70,7,10,3,0,1,4,7,32,3,.143,.265,.229,.494
Austin Slater,BAL,OF,33,69,10,17,3,0,1,6,8,23,1,.246,.342,.333,.675
Tommy Pham,STL,OF,23,68,7,14,3,1,2,12,7,16,0,.206,.286,.368,.654
Joshua Palacios,PIT,OF,23,67,10,15,2,0,2,9,10,12,1,.224,.333,.343,.676
Bligh Madris,DET,OF,21,67,8,18,3,0,1,5,6,20,0,.269,.324,.358,.682
Jacob Amaya,CWS,SS,23,67,4,12,1,0,0,3,4,28,1,.179,.225,.194,.419
Zach DeLoach,CWS,OF,22,67,10,14,5,0,1,5,8,21,0,.209,.293,.328,.621
Jack Lopez,LAA,2B,27,67,4,17,3,0,1,6,2,25,0,.254,.286,.343,.629
Eric Haase,MIL,C,30,66,10,18,1,0,5,14,3,28,0,.273,.304,.515,.819
Jon Berti,NYY,3B,25,66,10,18,0,0,1,6,6,14,5,.273,.342,.318,.660
Omar Narvaez,NYM,C,28,65,4,10,2,0,0,5,3,12,0,.154,.191,.185,.376
Emmanuel Rivera,BAL,3B,27,64,9,20,3,1,4,14,6,18,0,.313,.370,.578,.948
Braden Shewmake,CWS,SS,29,64,4,8,2,0,1,4,1,10,5,.125,.134,.203,.337
Alan Trejo,COL,SS,28,63,4,9,0,0,0,1,2,15,0,.143,.182,.143,.325
Bryce Johnson,SD,OF,47,63,9,13,2,0,0,4,7,12,1,.206,.286,.238,.524
Brian Serven,TOR,C,28,63,6,10,4,0,0,3,5,22,0,.159,.243,.222,.465
Ryan Bliss,SEA,2B,33,63,10,14,3,1,2,9,5,22,5,.222,.290,.397,.687
Zach Dezenzo,HOU,1B,19,62,5,15,2,0,2,8,3,22,0,.242,.277,.371,.648
Nasim Nunez,WSH,SS,51,61,14,15,1,0,0,1,12,15,8,.246,.370,.262,.632
Mike Ford,CIN,DH,17,60,2,9,0,1,1,4,2,15,0,.150,.177,.233,.410
Pablo Reyes,BOS,SS,21,60,4,11,2,0,0,5,3,19,1,.183,.234,.217,.451
Cristian Pache,MIA,OF,35,60,4,11,3,0,1,7,4,21,1,.183,.234,.283,.517
Kevin Kiermaier,LAD,OF,34,59,7,12,2,1,1,8,2,20,1,.203,.242,.322,.564
Ryan Kreidler,DET,SS,35,59,9,7,0,0,1,2,6,19,5,.119,.200,.169,.369
David Dahl,PHI,OF,19,58,6,12,2,0,3,8,3,21,0,.207,.242,.397,.639
Ben Gamel,HOU,OF,20,58,13,15,3,0,1,4,11,17,0,.259,.377,.362,.739
Christian Bethancourt,CHC,C,24,57,9,16,4,0,3,15,2,14,3,.281,.305,.509,.814
Aaron Hicks,LAA,OF,18,57,6,8,0,0,1,5,6,23,0,.140,.222,.193,.415
Amed Rosario,CIN,2B,22,57,6,9,0,0,1,4,1,23,3,.158,.186,.211,.397
Drew Millas,WSH,C,20,57,7,14,1,0,1,1,5,16,4,.246,.306,.316,.622
Jasson Dominguez,NYY,OF,18,56,8,10,1,0,2,4,11,19,5,.179,.313,.304,.617
Esteury Ruiz,OAK,OF,29,55,10,11,2,1,2,8,4,20,5,.200,.270,.382,.652
Jason Heyward,HOU,OF,24,55,8,12,2,0,4,9,5,17,1,.218,.283,.473,.756
Jacob Hurtubise,CIN,OF,29,54,7,10,1,1,0,4,6,18,2,.185,.297,.241,.538
Zack Short,ATL,2B,30,54,9,8,3,0,0,5,12,16,2,.148,.313,.204,.517
Yuli Gurriel,KC,1B,18,54,7,13,3,0,0,6,9,15,1,.241,.338,.296,.634
Jared Walsh,TEX,1B,17,53,9,12,2,0,1,7,7,21,0,.226,.317,.321,.638
Eguy Rosario,SD,3B,30,53,5,13,6,0,3,6,2,20,0,.245,.286,.528,.814
David Hensley,MIA,DH,23,52,9,11,1,0,1,4,6,17,1,.212,.293,.288,.581
Chadwick Tromp,ATL,C,19,52,3,13,6,0,0,6,1,17,0,.250,.259,.365,.624
Drew Romo,COL,C,16,51,4,9,3,0,0,6,2,18,0,.176,.208,.235,.443
Kyren Paris,LAA,SS,21,51,4,6,2,0,1,5,7,17,1,.118,.224,.216,.440
Rafael Marchan,PHI,C,17,51,8,15,4,0,3,6,3,8,0,.294,.345,.549,.894
Cole Tucker,LAA,OF,25,50,3,9,4,1,0,3,6,17,3,.180,.263,.300,.563
Avisail Garcia,MIA,OF,18,50,4,12,1,0,2,2,1,13,0,.240,.255,.380,.635
Mason McCoy,SD,SS,19,49,7,10,2,0,0,3,5,19,1,.204,.278,.245,.523
Tyler Black,MIL,DH,18,49,4,10,2,0,0,2,7,17,3,.204,.316,.245,.561
Thomas Saggese,STL,2B,18,49,5,10,2,0,1,4,2,14,0,.204,.250,.306,.556
Billy Cook,PIT,OF,16,49,5,11,2,0,3,8,0,19,1,.224,.224,.449,.673
Nick Ahmed,LAD,SS,17,48,6,11,0,0,1,2,1,14,1,.229,.245,.292,.537
Tomas Nido,CHC,C,17,47,5,6,2,0,1,4,1,15,0,.128,.143,.234,.377
Davis Wendzel,TEX,3B,27,47,2,6,2,0,1,2,1,12,0,.128,.163,.234,.397
Rece Hinds,CIN,OF,24,46,9,12,4,1,5,11,4,16,2,.261,.333,.717,1.050
David Bote,CHC,2B,37,46,4,14,4,0,0,6,2,13,0,.304,.333,.391,.724
Luke Williams,ATL,SS,37,46,8,9,3,0,0,4,4,13,3,.196,.275,.261,.536
Gustavo Campero,LAA,OF,13,46,6,11,0,1,1,6,0,8,3,.239,.271,.348,.619
Tyler Locklear,SEA,1B,16,45,3,7,1,0,2,3,3,20,1,.156,.224,.311,.535
Ryan Vilade,DET,OF,17,45,5,8,0,0,1,5,2,12,0,.178,.208,.244,.452
Derek Hill,TEX,OF,16,43,5,11,0,0,3,5,2,14,2,.256,.289,.465,.754
Jahmai Jones,NYY,DH,33,42,8,10,1,1,1,4,2,16,1,.238,.304,.381,.685
Austin Shenton,TB,3B,19,42,3,9,5,0,1,3,8,14,0,.214,.340,.405,.745
Justin Foscue,TEX,DH,15,42,3,2,1,0,0,1,2,18,0,.048,.091,.071,.162
Rene Pinto,TB,C,19,42,5,9,3,0,2,6,4,18,0,.214,.292,.429,.721
Coby Mayo,BAL,3B,17,41,4,4,0,0,0,0,4,22,0,.098,.196,.098,.294
Shay Whitcomb,HOU,3B,20,41,1,9,3,0,0,5,5,8,0,.220,.304,.293,.597
Jonatan Clase,SEA,OF,19,41,4,8,1,0,0,3,2,14,3,.195,.233,.220,.453
Luken Baker,STL,DH,21,40,3,7,1,1,2,10,7,11,1,.175,.286,.400,.686
Jamie Westbrook,BOS,OF,21,40,4,6,2,0,2,7,4,14,0,.150,.234,.350,.584
Yoan Moncada,CWS,3B,12,40,4,11,3,1,0,0,5,11,1,.275,.356,.400,.756
Luisangel Acuna,NYM,SS,14,39,6,12,2,1,3,6,1,6,0,.308,.325,.641,.966
Eli White,ATL,OF,35,39,9,11,1,1,1,4,1,12,3,.282,.333,.436,.769
Seby Zavala,SEA,C,18,39,4,6,2,0,1,2,3,16,0,.154,.214,.282,.496
Jhonny Pereda,MIA,C,20,39,2,9,0,0,0,4,0,10,0,.231,.250,.231,.481
Nick Yorke,PIT,2B,11,37,4,8,0,0,2,5,4,12,2,.216,.286,.378,.664
Armando Alvarez,OAK,3B,16,37,7,9,1,0,0,2,2,8,1,.243,.282,.270,.552
Steward Berroa,TOR,OF,28,37,7,7,1,0,0,1,8,14,6,.189,.333,.216,.549
Garrett Cooper,CHC,1B,12,37,3,10,1,1,1,6,4,13,0,.270,.341,.432,.773
Jonathan Ornelas,TEX,SS,18,37,1,8,2,0,0,3,2,13,0,.216,.256,.270,.526
Luis Guillorme,ARI,2B,18,37,6,6,2,0,0,4,11,8,3,.162,.347,.216,.563
Joey Wendle,NYM,3B,18,36,3,8,1,0,0,1,1,9,1,.222,.243,.250,.493
Kyle Stowers,BAL,OF,19,36,3,11,4,0,1,9,0,13,0,.306,.297,.500,.797
Adael Amador,COL,2B,10,35,1,6,1,0,0,0,1,6,1,.171,.194,.200,.394
Logan Driscoll,TB,C,15,35,2,6,0,0,1,5,1,6,0,.171,.189,.257,.446
Jordyn Adams,LAA,OF,11,35,4,8,0,0,1,4,3,12,2,.229,.289,.314,.603
David Villar,SF,2B,11,35,3,9,4,0,1,4,1,13,0,.257,.270,.457,.727
Javier Sanoja,MIA,OF,15,35,3,8,2,0,0,2,1,4,0,.229,.250,.286,.536
Tom Murphy,SF,C,13,34,3,4,1,0,1,2,4,14,0,.118,.211,.235,.446
Oscar Colas,CWS,OF,13,33,1,9,0,0,0,4,4,10,0,.273,.368,.273,.641
Zach Remillard,CWS,2B,15,33,3,8,1,1,0,1,5,10,1,.242,.342,.333,.675
Connor Norby,BAL,3B,9,32,3,6,1,0,2,3,0,12,0,.188,.188,.406,.594
Graham Pauley,SD,3B,13,32,4,4,0,0,2,5,0,15,0,.125,.125,.313,.438
Blake Sabol,SF,C,11,32,3,10,2,0,0,1,5,9,0,.313,.421,.375,.796
Robbie Grossman,KC,OF,16,32,2,4,0,0,0,2,5,13,0,.125,.263,.125,.388
Travis Blankenhorn,WSH,3B,13,31,2,4,1,0,0,5,1,9,0,.129,.156,.161,.317
